plane,k,h,test_accuracy_mean,test_accuracy_std,test_accuracy_max,test_f1_mean,test_f1_std,test_f1_max,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_max,training_time_mean,training_time_std,training_time_max,model_params,Computational_Efficiency,Parameter_Efficiency,AIC-ML
Axial,0,0,82.6,2.503331,88,0.812485,0.044152,0.866667,0.904464,0.026175,0.946314,0.556993,0.005016,0.570906,10290,20.58588742,8027.210884,17.68977146
Axial,2,2,82.3,2.162817,85,0.805304,0.037284,0.867257,0.892022,0.022428,0.926561,0.030911,0.005202,0.040328,7,91.13156074,11757142.86,-2.671867888
Axial,4,2,82.1,2.330951,86,0.803908,0.037657,0.852174,0.895763,0.031111,0.946314,0.071898,0.014103,0.091407,11,76.0761923,7463636.364,-0.074758777
Axial,4,4,82.5,2.013841,86,0.807618,0.041382,0.844828,0.891898,0.026316,0.946314,0.065272,0.003672,0.072735,16,67.04869952,5156250,0.47153698
Axial,8,2,81.3,2.58414,86,0.797753,0.040732,0.840909,0.897116,0.022708,0.947115,0.126003,0.019922,0.17912,19,62.48895127,4278947.368,2.160027172
Axial,8,4,82.3,2.626785,88,0.803432,0.044542,0.866667,0.897413,0.027652,0.947917,0.204386,0.040607,0.309091,32,54.19772439,2571875,4.14558013
Axial,8,8,82.3,2.983287,89,0.808312,0.049253,0.879121,0.898935,0.027344,0.94391,0.233047,0.012987,0.251424,46,49.21960734,1789130.435,5.133850692
Axial,16,16,81.8,1.229273,84,0.800719,0.040449,0.846847,0.886582,0.021634,0.919625,0.853901,0.034114,0.922132,154,37.34594174,531168.8312,10.15981106
Axial,16,2,82.2,2.097618,86,0.802555,0.031546,0.854545,0.893035,0.026478,0.948718,0.258123,0.049004,0.388355,35,52.81749529,2348571.429,4.794087764
Axial,16,4,82.4,2.674987,88,0.808705,0.039261,0.866667,0.896664,0.026966,0.951522,0.441438,0.052656,0.547866,64,45.4517033,1287500,7.069500267
Axial,16,8,82.9,2.726414,87,0.811698,0.049586,0.872727,0.898116,0.025719,0.951122,0.674968,0.039487,0.742596,110,40.53149593,753636.3636,8.989850986
Coronal,0,0,81.6,4.765618,88,0.794748,0.063711,0.875,0.894752,0.04277,0.963185,0.556542,0.001146,0.557922,10290,20.33666361,7930.029155,17.71251223
Coronal,2,2,80.6,6.239658,87,0.788249,0.06334,0.860215,0.874832,0.066069,0.953181,0.030733,0.006429,0.041811,7,89.24913482,11514285.71,-2.641673195
Coronal,4,2,81.3,4.715224,87,0.79191,0.068844,0.865979,0.888979,0.043777,0.94958,0.075419,0.022626,0.123812,11,75.33488957,7390909.091,0.040446792
Coronal,4,4,79.8,6.52857,87,0.78312,0.064018,0.868687,0.875934,0.067758,0.958784,0.073911,0.015734,0.115286,16,64.85437844,4987500,0.786683583
Coronal,8,2,80,6.073622,87,0.777979,0.065689,0.863158,0.88494,0.041673,0.947179,0.143857,0.042589,0.226039,19,61.48974295,4210526.316,2.457294004
Coronal,8,4,81.1,6.0452,88,0.793481,0.064414,0.875,0.880196,0.064003,0.953181,0.214245,0.050778,0.327672,32,53.40747811,2534375,4.269176137
Coronal,8,8,81.1,4.629615,87,0.789662,0.062224,0.865979,0.885068,0.042579,0.953181,0.261957,0.036824,0.341516,46,48.50194599,1763043.478,5.397107421
Coronal,16,16,81.3,5.313505,88,0.79407,0.064938,0.87234,0.890001,0.040612,0.94998,0.935963,0.110079,1.107377,154,37.11766582,527922.0779,10.35559488
Coronal,16,2,80.9,5.40473,87,0.788701,0.072307,0.865979,0.886227,0.048824,0.955182,0.251516,0.024713,0.305797,35,51.9821821,2311428.571,4.7741115
Coronal,16,4,81.6,5.481281,87,0.799725,0.070532,0.868687,0.888075,0.042402,0.952781,0.455967,0.053761,0.537363,64,45.01042463,1275000,7.153778334
Coronal,16,8,82,5.09902,89,0.801423,0.064736,0.891089,0.888004,0.046385,0.958784,0.70881,0.057498,0.798459,110,40.09146763,745454.5455,9.109527066
Sagittal,0,0,80.4,4.718757,85,0.785253,0.074137,0.854545,0.882203,0.043099,0.934966,0.555059,0.001488,0.557355,10290,20.03759502,7813.411079,17.73680595
Sagittal,2,2,79.6,4.926121,85,0.770432,0.069496,0.854545,0.877575,0.042272,0.935367,0.028999,0.00301,0.032268,7,88.14182545,11371428.57,-2.73285538
Sagittal,4,2,80.2,4.341019,85,0.780273,0.069772,0.854545,0.871952,0.035929,0.92212,0.065706,0.013187,0.09014,11,74.31559832,7290909.091,-0.208046179
Sagittal,4,4,80.9,5.108816,89,0.790823,0.075926,0.884211,0.87546,0.039866,0.940185,0.067787,0.003124,0.073498,16,65.7483611,5056250,0.586320483
Sagittal,8,2,79.8,4.366539,86,0.774738,0.062477,0.854167,0.874818,0.035835,0.925657,0.130145,0.013792,0.154787,19,61.33601859,4200000,2.26195919
Sagittal,8,4,80.2,4.077036,86,0.782224,0.063825,0.851485,0.875504,0.039768,0.923636,0.200011,0.034852,0.288803,32,52.81479339,2506250,4.15399932
Sagittal,8,8,80.6,4.526465,86,0.783716,0.068571,0.862385,0.87471,0.038811,0.922424,0.252229,0.039049,0.339372,46,48.20292043,1752173.913,5.333790118
Sagittal,16,16,80.6,4.168666,85,0.780016,0.067786,0.842105,0.856734,0.050512,0.913565,0.857094,0.063109,0.964837,154,36.79807952,523376.6234,10.19683291
Sagittal,16,2,80.3,4.715224,86,0.781717,0.068127,0.875,0.874285,0.03538,0.920514,0.24574,0.027831,0.3172,35,51.59665294,2294285.714,4.742534828
Sagittal,16,4,80.8,4.685676,86,0.788576,0.067544,0.854167,0.878845,0.042209,0.940185,0.474706,0.111913,0.743683,64,44.56914596,1262500,7.25403338
Sagittal,16,8,79.4,4.087923,84,0.772608,0.062845,0.830189,0.875717,0.042816,0.928485,0.700286,0.064951,0.832111,110,38.82027476,721818.1818,9.149771455
